step,KE,PE,T_insta,P_insta
482,283.6401,-305.8197,89.1582,3.0748
483,283.5249,-305.7522,89.1219,3.0809
484,283.5046,-305.7777,89.1156,3.0858
485,283.5743,-305.8891,89.1375,3.0896
486,283.7249,-306.0755,89.1848,3.0925
487,283.9437,-306.3222,89.2536,3.0946
488,284.2141,-306.6111,89.3386,3.0961
489,284.5164,-306.9209,89.4336,3.0972
490,284.8283,-307.2287,89.5317,3.0984
491,285.1263,-307.5107,89.6253,3.0999
492,285.3865,-307.7431,89.7071,3.102
493,285.5859,-307.9038,89.7698,3.1049
494,285.7034,-307.9732,89.8067,3.1088
495,285.7209,-307.9351,89.8122,3.114
496,285.6246,-307.778,89.782,3.1206
497,285.4052,-307.495,89.713,3.1287
498,285.0584,-307.0845,89.604,3.1383
499,284.5851,-306.5497,89.4552,3.1493
500,283.9911,-305.899,89.2685,3.1616
501,283.287,-305.145,89.0472,3.1751
502,282.4875,-304.3043,88.7959,3.1895
503,281.6106,-303.3964,88.5202,3.2046
504,280.6772,-302.4428,88.2268,3.2202
505,279.7095,-301.4664,87.9226,3.236
506,278.7303,-300.49,87.6148,3.2515
507,277.7623,-299.5356,87.3106,3.2666
508,276.8268,-298.6236,87.0165,3.281
509,275.943,-297.772,86.7387,3.2944
510,275.1275,-296.9957,86.4824,3.3068
511,274.3938,-296.3071,86.2517,3.3179
512,273.7529,-295.7156,86.0503,3.3276
513,273.2126,-295.2278,85.8804,3.3358
514,272.7787,-294.8486,85.744,3.3424
515,272.455,-294.5809,85.6423,3.3475
516,272.2437,-294.4264,85.5759,3.3509
517,272.1462,-294.3858,85.5452,3.3527
518,272.1623,-294.4585,85.5503,3.353
519,272.291,-294.6429,85.5908,3.3516
520,272.5303,-294.9361,85.666,3.3488
521,272.8759,-295.3331,85.7746,3.3444
522,273.3224,-295.8272,85.9149,3.3387
523,273.8615,-296.409,86.0844,3.3318
524,274.4828,-297.0667,86.2797,3.3238
525,275.173,-297.7857,86.4967,3.315
526,275.9164,-298.5493,86.7303,3.3055
527,276.6953,-299.3388,86.9752,3.2958
528,277.4903,-300.1344,87.2251,3.2859
529,278.2813,-300.916,87.4737,3.2761
530,279.0482,-301.6637,87.7148,3.2668
531,279.7721,-302.3597,87.9423,3.2582
532,280.4361,-302.9883,88.151,3.2504
533,281.026,-303.5371,88.3365,3.2437
534,281.531,-303.9969,88.4952,3.238
535,281.944,-304.3629,88.625,3.2336
536,282.2622,-304.6338,88.725,3.2304
537,282.4861,-304.8122,88.7954,3.2284
538,282.6199,-304.9035,88.8375,3.2275
539,282.6702,-304.9153,88.8533,3.2276
540,282.6452,-304.8562,88.8454,3.2287
541,282.554,-304.7355,88.8168,3.2306
542,282.4055,-304.5615,88.7701,3.2333
543,282.2075,-304.3415,88.7079,3.2367
544,281.9665,-304.0807,88.6321,3.2407
545,281.6867,-303.7826,88.5442,3.2452
546,281.3706,-303.4484,88.4448,3.2504
547,281.0182,-303.0775,88.334,3.2561
548,280.6282,-302.6678,88.2114,3.2624
549,280.1982,-302.2163,88.0762,3.2692
550,279.7246,-301.7196,87.9274,3.2767
551,279.2044,-301.1747,87.7639,3.2849
552,278.6347,-300.5795,87.5848,3.2937
553,278.0141,-299.9334,87.3897,3.3031
554,277.3431,-299.2375,87.1788,3.3131
555,276.6237,-298.4955,86.9527,3.3237
556,275.861,-297.7136,86.7129,3.3347
557,275.0628,-296.9015,86.462,3.3459
558,274.2403,-296.0718,86.2035,3.3573
559,273.4075,-295.24,85.9417,3.3685
560,272.5815,-294.4245,85.6821,3.3793
561,271.7819,-293.6458,85.4307,3.3895
562,271.0297,-292.9254,85.1943,3.3988
563,270.3468,-292.2853,84.9796,3.4068
564,269.7549,-291.7464,84.7935,3.4133
565,269.2738,-291.3275,84.6423,3.4181
566,268.9211,-291.044,84.5314,3.4209
567,268.7099,-290.9071,84.4651,3.4217
