step,KE,PE,T_insta,P_insta
572,277.6351,-301.6757,87.2706,3.1919
573,277.4728,-301.6195,87.2196,3.1894
574,277.3939,-301.585,87.1948,3.187
575,277.4056,-301.6451,87.1984,3.1833
576,277.5153,-301.8056,87.2329,3.1782
577,277.7272,-302.0695,87.2995,3.1717
578,278.0429,-302.437,87.3988,3.1637
579,278.4615,-302.9061,87.5303,3.1545
580,278.9796,-303.472,87.6932,3.1439
581,279.5915,-304.1282,87.8855,3.1322
582,280.2894,-304.8902,88.1049,3.1186
583,281.0653,-305.7005,88.3488,3.1048
584,281.9069,-306.5712,88.6134,3.0901
585,282.8025,-307.4895,88.8949,3.0748
586,283.74,-308.4435,89.1896,3.059
587,284.7072,-309.1963,89.4936,3.0452
588,285.6932,-310.187,89.8035,3.029
589,286.6856,-311.1791,90.1155,3.0128
590,287.6745,-312.163,90.4263,2.9967
591,288.6509,-313.0054,90.7332,2.9824
592,289.6095,-313.9516,91.0346,2.9669
593,290.5411,-314.8677,91.3274,2.9517
594,291.44,-315.7487,91.61,2.937
595,292.3014,-316.5898,91.8807,2.923
596,293.1206,-317.3866,92.1382,2.9095
597,293.8934,-318.3393,92.3811,2.8944
598,294.6195,-319.0801,92.6094,2.8812
599,295.2919,-319.7224,92.8207,2.8701
600,295.9024,-320.2799,93.0126,2.8604
601,296.4465,-320.7876,93.1837,2.8513
602,296.9161,-321.2279,93.3313,2.8429
603,297.3045,-321.6643,93.4534,2.8351
604,297.6045,-321.9186,93.5477,2.8297
605,297.812,-322.0782,93.6129,2.8255
606,297.923,-322.14,93.6478,2.8228
607,297.9355,-322.1033,93.6517,2.8214
608,297.8499,-321.9695,93.6248,2.8214
609,297.6691,-321.7432,93.568,2.8226
610,297.3994,-321.5972,93.4832,2.8233
611,297.0523,-321.2511,93.3741,2.8263
612,296.6412,-320.8116,93.2449,2.8307
